generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 200, specified sparsity: 0.800, max sparsity: 0.900 , actual sparsity: 0.800
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 175, specified sparsity: 0.825, max sparsity: 0.900 , actual sparsity: 0.825
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
generated matrix: 100x10, nnz: 150, specified sparsity: 0.850, max sparsity: 0.900 , actual sparsity: 0.850
